primary_key,name,starting_date,ending_date,x,y,z1,z2
Daniel_Call_,Daniel Call ,1765-05-05 00:00:00,1840-05-16 00:00:00,-7.0184246988301275,4.590604388085258,2.5884944997216537,5.596641027450427
Elizabeth_Machen_Kirkland_,Elizabeth Machen Kirkland ,1796-05-31 00:00:00,1822-09-14 00:00:00,-4.870745955980379,-0.11120531457784312,3.8342781423721375,4.888183222386878
Mary_Nash_,Mary Nash ,1733-04-09 00:00:00,1812-10-20 00:00:00,-3.0388320525360677,4.732720072188017,1.3026446812347596,4.491253655744517
Mary_Ann_Cameron_,Mary Ann Cameron ,1804-01-10 00:00:00,1839-07-22 00:00:00,-3.4298886408304985,7.580787394876042,4.1393299304526465,5.563819694367997
John_Adams_Cameron_,John Adams Cameron ,1815-10-12 00:00:00,1838-06-18 00:00:00,-5.575748291873324,3.9955856331812254,4.610574020495691,5.520021326809839
Benjamin_Taliaferro_,Benjamin Taliaferro ,1776-10-12 00:00:00,1801-10-12 00:00:00,3.0492366983489285,0.44542893362773456,3.047115000117611,4.0493182477516685
Phyllis_Adams_,Phyllis Adams ,2023-11-28 00:00:00,2004-02-26 00:00:00,-6.28699389333691,1.034074342210349,12.955096088255358,12.163103050831511
Thomas_Wythe_Call_,Thomas Wythe Call ,1775-10-12 00:00:00,1800-10-12 00:00:00,-8.697998836027358,6.129977015454232,3.006939053936443,4.009252071915258
John_Call_,John Call ,1767-10-12 00:00:00,1800-10-12 00:00:00,None,None,None,None
Margaret_Blain_Scott_,Margaret Blain Scott ,1773-10-12 00:00:00,1839-07-06 00:00:00,-4.214065532842798,0.6074911248077547,2.9268067022636215,5.562063368851881
Mary_Anderson_Kirkland_,Mary Anderson Kirkland ,1809-08-24 00:00:00,1880-07-27 00:00:00,-5.400898654044417,-0.18168450294998073,4.364688448239362,7.208289229176958
Sterling_Ruffin_,Sterling Ruffin ,1817-11-19 00:00:00,2007-02-18 00:00:00,-2.3997108699695517,-0.6288538197564082,4.694987415614047,12.282533185927441
Alan_Jones_Cameron_,Alan Jones Cameron ,1852-07-03 00:00:00,2030-06-21 00:00:00,-4.593548299703132,3.63554838546618,6.083033425069979,13.218215604638582
Thomas_Amis_Cameron_,Thomas Amis Cameron ,1806-07-25 00:00:00,1870-01-20 00:00:00,-3.8550072607993173,7.4690613169650915,4.241087040042654,6.786661334964207
Elizabeth_Taylor_,Elizabeth Taylor ,1736-06-29 00:00:00,1763-03-06 00:00:00,-8.12616220477433,5.096954094887504,1.4318443770140898,2.5016661570186374
Ely_Cameron_Witherspoon_,Ely Cameron Witherspoon ,1846-01-27 00:00:00,2014-03-13 00:00:00,-5.7851790602746584,6.1795844688215205,5.825182885235105,12.56574067540125
Anna_MacKenzie_Cameron_,Anna MacKenzie Cameron ,1817-10-12 00:00:00,1890-02-04 00:00:00,-5.1711561100393295,3.044801176964069,4.69081614251327,7.590180258587569
Martha_P_Ruffin_,Martha P Ruffin ,1831-10-12 00:00:00,1896-10-12 00:00:00,-4.47075031586196,-1.6090578595178497,5.252071915257294,7.858239440484871
