primary_key,name,starting_date,ending_date,x,y,z1,z2
Daniel_Call_,Daniel Call ,1765-05-05 00:00:00,1840-05-16 00:00:00,0.6427849207265999,0.08111520842237725,2.567061806336787,5.5579109088772105
Elizabeth_Machen_Kirkland_,Elizabeth Machen Kirkland ,1796-05-31 00:00:00,1822-09-14 00:00:00,-5.098172473641529,-0.4488508012767617,3.8056819517437077,4.853526873415384
Mary_Nash_,Mary Nash ,1733-04-09 00:00:00,1812-10-20 00:00:00,-0.6173305738942547,-3.8074478633748208,1.2886058733650116,4.458879728663297
Mary_Ann_Cameron_,Mary Ann Cameron ,1804-01-10 00:00:00,1839-07-22 00:00:00,0.5700489031441118,-4.642533199161664,4.108979632956664,5.525278304817234
John_Adams_Cameron_,John Adams Cameron ,1815-12-11 00:00:00,1838-06-18 00:00:00,-0.81983489458925,-0.7264169520465847,4.584062326846551,5.481731786355928
Benjamin_Taliaferro_,Benjamin Taliaferro ,1776-12-11 00:00:00,1801-12-11 00:00:00,-6.243665073431092,-6.48947341451546,3.029593498665144,4.026033883506557
Phyllis_Adams_,Phyllis Adams ,1923-11-28 00:00:00,2004-02-26 00:00:00,-1.9643657335147633,1.500807300033183,8.887746192722938,12.086614503752708
Thomas_Wythe_Call_,Thomas Wythe Call ,1775-12-11 00:00:00,1800-12-11 00:00:00,2.601191555905679,1.226624261304333,2.989648571956277,3.9861980959417034
John_Call_,John Call ,1767-12-11 00:00:00,1800-12-11 00:00:00,1.6255128230098375,1.7788717733947996,2.67074399314942,3.9861980959417034
Margaret_Blain_Scott_,Margaret Blain Scott ,1773-12-11 00:00:00,1839-07-06 00:00:00,-4.243019977273872,0.3263074920252416,2.9099769968265696,5.523532078513021
Mary_Anderson_Kirkland_,Mary Anderson Kirkland ,1809-08-24 00:00:00,1880-07-27 00:00:00,-4.948620937647441,-0.022833117054416003,4.333042295615964,7.160291821280454
Sterling_Ruffin_,Sterling Ruffin ,1817-11-19 00:00:00,2007-02-18 00:00:00,-6.4728908272937185,1.005959595107147,4.661441979951979,12.205357892439176
Alan_Jones_Cameron_,Alan Jones Cameron ,1852-07-03 00:00:00,1930-06-21 00:00:00,-1.851724636999761,-2.1527056015516184,6.041506456000135,9.149352720922813
Thomas_Amis_Cameron_,Thomas Amis Cameron ,1806-07-25 00:00:00,1870-01-20 00:00:00,0.9637406864059099,-4.641717558830418,4.210151619456991,6.741088369125376
Elizabeth_Taylor_,Elizabeth Taylor ,1736-06-29 00:00:00,1763-03-06 00:00:00,1.469133037778039,0.9498709312928755,1.4170626458686637,2.480732743422268
Ely_Cameron_Witherspoon_,Ely Cameron Witherspoon ,1846-01-27 00:00:00,2014-03-13 00:00:00,1.5659138570091387,-1.3890647317354492,5.785138606712898,12.486936883993486
Anna_MacKenzie_Cameron_,Anna MacKenzie Cameron ,1817-12-11 00:00:00,1890-02-04 00:00:00,-1.653419770588319,-0.3904312956706999,4.663843041120272,7.539986903302719
Martha_P_Ruffin_,Martha P Ruffin ,1831-12-11 00:00:00,1896-12-11 00:00:00,-5.174907462371408,2.553451616756733,5.221871484460265,7.8130530416239905
Rebecca_Bennehan_Cameron_,Rebecca Bennehan Cameron ,1810-05-17 00:00:00,1839-09-15 00:00:00,1.3422458826080084,-4.303351398956537,4.3620733079235015,5.531280957737966
Frances_Fanny_Stephens_Hawks_,Frances (Fanny) Stephens Hawks ,1800-12-11 00:00:00,1860-12-11 00:00:00,-1.9591046275649728,-0.6299588656520816,3.9861980959417034,6.377982436993133
John_Cameron_,John Cameron ,1744-12-11 00:00:00,1815-12-11 00:00:00,-0.9617935284619872,-2.958512399718406,1.7539751834377153,4.584062326846551
Anne_Taliaferro_,Anne Taliaferro ,1769-12-11 00:00:00,1864-12-11 00:00:00,-7.6097094400440115,-7.329825306145055,2.750524707423141,6.537434726396562
Ann_Nanny_Call_,Ann 'Nanny' Call ,1761-02-13 00:00:00,1778-12-26 00:00:00,2.0367068027019566,2.0315626990307725,2.3987692462682806,3.1109021609550513
