primary_key,name,starting_date,ending_date,x,y,z1,z2
1,a,1990-10-03 00:00:00,2018-10-03 00:00:00,0.49828202210120814,-1.7865259249717576,2.970994365526545,5.0
2,b,1995-10-03 00:00:00,2018-10-03 00:00:00,-0.6340328505704744,-1.8562265956454664,3.3332672010157927,5.0
3,c,1975-10-03 00:00:00,2018-10-03 00:00:00,-2.897167750181918,-2.3412013401110343,1.883977462106182,5.0
4,d,1968-10-03 00:00:00,2018-10-03 00:00:00,-1.4007979774282273,-1.5830212670168609,1.3768748512022855,5.0
5,e,1949-10-03 00:00:00,1998-10-03 00:00:00,-0.7539999728945439,-0.7345410232517207,0.0,3.55071026109039
6,f,1955-10-03 00:00:00,2006-10-03 00:00:00,-0.485540349958467,0.32003206900524717,0.43468772319657173,4.1304261566542335
7,g,1965-10-03 00:00:00,2015-10-03 00:00:00,-2.250608791826395,-3.5196349445853596,1.1594317911276883,4.782556939925403
8,h,1970-10-03 00:00:00,2018-10-03 00:00:00,-1.7419440614716373,-2.561202225148314,1.5217046266169352,5.0
9,i,1972-10-03 00:00:00,2017-10-03 00:00:00,-1.3706880828939776,-3.760079560166005,1.6667327989842076,4.927585112292675
10,j,1999-10-03 00:00:00,2018-10-03 00:00:00,-0.8701604363894117,-2.5846056005209106,3.6231251487977145,5.0
11,k,1983-10-03 00:00:00,2018-10-03 00:00:00,-4.992125077511602,-2.5866386462920885,2.463693357670026,5.0
12,l,1995-10-03 00:00:00,2018-10-03 00:00:00,0.11376681690762637,-2.72067729881243,3.3332672010157927,5.0
13,m,1960-10-03 00:00:00,2009-10-03 00:00:00,-0.6856146367605723,1.3473404174826495,0.7971589556384413,4.3478692167288315
14,n,1977-10-03 00:00:00,2018-10-03 00:00:00,-3.973248832438394,-2.40786706158628,2.0290056344734544,5.0
15,o,1960-10-03 00:00:00,2002-10-03 00:00:00,0.23495202431647352,1.0964755059520483,0.7971589556384413,3.840568208872312
