primary_key,name,starting_date,ending_date,x,y,z1,z2
1,a,1990-11-19 00:00:00,2018-11-19 00:00:00,-0.44822999272617003,-1.3894196641364362,0.0,6.0
2,b,1995-11-19 00:00:00,2018-11-19 00:00:00,0.34488583882950796,-0.5761702396820103,0.0,6.0
3,c,1975-11-19 00:00:00,2018-11-19 00:00:00,2.189599923162357,0.8193870340837114,0.0,6.0
4,d,1968-11-19 00:00:00,2018-11-19 00:00:00,0.6400379507635094,0.1809104018381013,0.0,6.0
5,e,1949-11-19 00:00:00,1998-11-19 00:00:00,-0.42311652824263224,0.24996506000765326,0.0,0.0
6,f,1955-11-19 00:00:00,2006-11-19 00:00:00,-1.3974592343596843,0.7349704439772393,0.0,0.0
7,g,1965-11-19 00:00:00,2015-11-19 00:00:00,2.6613044466249285,-0.4406825836104589,0.0,0.0
8,h,1970-11-19 00:00:00,2018-11-19 00:00:00,1.6031463651196758,-0.19914987155481478,0.0,6.0
9,i,1972-11-19 00:00:00,2017-11-19 00:00:00,2.2708674434252103,-1.2606624806104458,0.0,0.0
10,j,1999-11-19 00:00:00,2018-11-19 00:00:00,1.0508127079018088,-0.8764599445341268,0.0,6.0
11,k,1983-11-19 00:00:00,2018-11-19 00:00:00,3.7436906388010796,2.2463592317478716,0.0,6.0
12,l,1995-11-19 00:00:00,2018-11-19 00:00:00,0.5085909893437753,-1.70687333938098,0.0,6.0
13,m,1960-11-19 00:00:00,2009-11-19 00:00:00,-2.45592824197755,0.7014363917300935,0.0,0.0
14,n,1977-11-19 00:00:00,2018-11-19 00:00:00,2.939878371476048,1.5942332311233225,0.0,6.0
15,o,1960-11-19 00:00:00,2002-11-19 00:00:00,-2.041642601388342,1.5627743819305064,0.0,0.0
